50, 0
SunFlower, Peashooter, Wallnut
162
30, 0, NormalZombie
60, 4, NormalZombie
75, 1, NormalZombie
85, 2, NormalZombie
95, 0, NormalZombie
120, 0, NormalZombie
120, 2, NormalZombie
145, 2, NormalZombie
145, 1, NormalZombie
155, 1, NormalZombie
170, 1, NormalZombie
170, 2, NormalZombie
180, 3, FlagZombie
182, 2, NormalZombie
182, 0, NormalZombie
182, 1, NormalZombie
182, 4, NormalZombie
182, 2, NormalZombie
185, 3, NormalZombie
185, 2, NormalZombie
185, 2, NormalZombie
185, 2, NormalZombie
185, 1, NormalZombie
190, 0, NormalZombie
190, 2, NormalZombie
190, 0, NormalZombie
193, 1, NormalZombie
193, 0, NormalZombie
193, 4, NormalZombie
193, 1, NormalZombie
195, 1, NormalZombie
195, 1, NormalZombie
195, 3, NormalZombie
195, 0, NormalZombie
200, 0, NormalZombie
200, 0, NormalZombie
200, 3, NormalZombie
200, 0, NormalZombie
200, 4, NormalZombie
200, 0, NormalZombie
200, 4, NormalZombie
202, 2, NormalZombie
202, 3, NormalZombie
202, 0, NormalZombie
202, 3, NormalZombie
202, 0, NormalZombie
202, 0, NormalZombie
205, 4, NormalZombie
207, 0, NormalZombie
207, 1, NormalZombie
207, 0, NormalZombie
207, 0, NormalZombie
207, 4, NormalZombie
207, 3, NormalZombie
207, 0, NormalZombie
207, 0, NormalZombie
207, 3, NormalZombie
209, 1, NormalZombie
209, 4, NormalZombie
209, 1, NormalZombie
209, 3, NormalZombie
210, 4, FlagZombie
210, 4, NormalZombie
210, 4, NormalZombie
210, 3, NormalZombie
210, 0, NormalZombie
210, 1, NormalZombie
210, 1, NormalZombie
212, 3, NormalZombie
212, 2, NormalZombie
212, 0, NormalZombie
212, 1, NormalZombie
212, 1, NormalZombie
212, 2, NormalZombie
212, 1, NormalZombie
212, 0, NormalZombie
215, 2, NormalZombie
215, 2, NormalZombie
215, 1, NormalZombie
215, 1, NormalZombie
216, 1, NormalZombie
216, 0, NormalZombie
216, 2, NormalZombie
217, 1, NormalZombie
217, 4, NormalZombie
217, 3, NormalZombie
219, 2, NormalZombie
219, 3, NormalZombie
219, 2, NormalZombie
219, 1, NormalZombie
220, 3, NormalZombie
220, 1, NormalZombie
220, 0, NormalZombie
220, 3, NormalZombie
220, 1, NormalZombie
220, 3, NormalZombie
220, 1, NormalZombie
220, 2, NormalZombie
220, 1, NormalZombie
220, 3, NormalZombie
220, 3, NormalZombie
220, 2, NormalZombie
220, 4, NormalZombie
220, 4, NormalZombie
220, 3, NormalZombie
220, 2, NormalZombie
220, 0, NormalZombie
220, 2, NormalZombie
225, 1, FlagZombie
230, 0, NormalZombie
230, 0, NormalZombie
230, 1, NormalZombie
230, 1, NormalZombie
230, 0, NormalZombie
230, 1, NormalZombie
230, 1, NormalZombie
230, 1, NormalZombie
232, 3, NormalZombie
232, 4, NormalZombie
232, 3, NormalZombie
232, 1, NormalZombie
232, 1, NormalZombie
232, 1, NormalZombie
232, 2, NormalZombie
232, 2, NormalZombie
235, 2, NormalZombie
235, 4, NormalZombie
235, 1, NormalZombie
235, 2, NormalZombie
235, 2, NormalZombie
235, 2, NormalZombie
235, 3, NormalZombie
235, 1, NormalZombie
235, 3, NormalZombie
235, 0, NormalZombie
235, 3, NormalZombie
235, 1, NormalZombie
235, 4, NormalZombie
240, 3, NormalZombie
240, 4, NormalZombie
240, 4, NormalZombie
240, 1, NormalZombie
240, 1, NormalZombie
240, 0, NormalZombie
240, 1, NormalZombie
240, 0, NormalZombie
240, 4, NormalZombie
240, 0, NormalZombie
240, 4, NormalZombie
240, 0, NormalZombie
240, 3, NormalZombie
240, 3, NormalZombie
240, 3, NormalZombie
240, 3, NormalZombie
240, 3, NormalZombie
240, 1, NormalZombie
240, 4, NormalZombie
240, 0, NormalZombie
240, 0, NormalZombie
240, 4, NormalZombie
240, 2, NormalZombie
240, 3, NormalZombie
0, 1, 2, 3, 4
